#RA_VLA,Dec_VLA,jmag,hmag,kmag,i1mag,i2mag,i3mag,i4mag,m24mag,p70mag
277.51470,-2.0523611,-100.00000,-100.00000,-100.00000,-100.00000,12.056095,10.602280,10.123528,3.6860638,-3.6430965
277.51223,-2.0421528,-100.00000,-100.00000,-100.00000,15.020042,12.339920,11.546078,-100.00000,-100.00000,-100.00000
277.51402,-2.0461389,-100.00000,-100.00000,-100.00000,10.943726,9.6052666,8.4751854,7.7275543,3.2747154,-2.4506278
277.51709,-2.0506111,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,4.1940422,-3.4937520
277.51607,-2.0534306,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000
277.51913,-2.0539167,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000
277.51354,-2.0573667,-100.00000,-100.00000,14.313000,12.471340,11.466911,10.953705,10.413879,4.3711662,-100.00000
277.50546,-2.0618889,-100.00000,14.700000,11.240000,8.2680511,6.7648335,5.5386696,4.2925282,0.58507919,-1.5015044
277.51096,-2.0491028,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000
277.51276,-2.0563472,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000
277.51052,-2.0557139,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000
277.51276,-2.0433667,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000
277.53917,-2.0691806,-100.00000,-100.00000,-100.00000,16.876015,15.631256,-100.00000,12.498837,-100.00000,-100.00000
277.52419,-2.0291722,-100.00000,15.139000,9.9480000,6.1937008,5.0006065,4.0559158,3.3885765,0.58904648,-100.00000
277.52764,-2.0246528,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000
277.50648,-2.0143944,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000
277.51062,-2.0135194,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000
277.54029,-2.0091944,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000
277.52001,-2.0095361,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000
277.51169,-2.0403056,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000
277.50940,-2.0330611,-100.00000,-100.00000,13.729000,10.545795,9.3365707,8.3948669,7.8099747,3.4242058,0.18260335
277.50605,-2.0385556,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000,-100.00000
277.50201,-2.0363667,-100.00000,-100.00000,13.985000,11.095856,10.052746,9.2078934,8.6052742,4.5762787,0.55531454
